id_locomotiva,timestamp_leitura,velocidade_atual_kmh,posicao_acelerador_notch,peso_total_toneladas,inclinacao_terreno_graus,target_consumo_litros_hr
LOC_LOG_9007,2024-01-09 08:53:00,43.1,7,15000,-1.09,328.95
LOC_LOG_9013,2024-01-09 09:30:00,31.2,3,12000,0.86,247.88
LOC_LOG_9009,2024-01-09 09:42:00,48.7,8,15000,1.77,480.99
LOC_LOG_9007,2024-01-09 13:11:00,66.6,4,18000,-0.03,261.0
LOC_LOG_9019,2024-01-09 13:39:00,16.1,6,15000,-1.33,309.47
LOC_LOG_9000,2024-01-09 14:15:00,6.7,4,18000,-1.7,255.88
LOC_LOG_9018,2024-01-09 16:31:00,11.8,8,8000,0.56,340.64
LOC_LOG_9003,2024-01-09 16:32:00,5.8,1,18000,1.75,255.75
LOC_LOG_9013,2024-01-09 16:40:00,4.0,1,15000,1.96,252.31
LOC_LOG_9000,2024-01-09 18:21:00,8.2,6,18000,-0.54,320.1
LOC_LOG_9000,2024-01-09 18:44:00,74.2,1,18000,2.35,294.0
LOC_LOG_9019,2024-01-09 20:16:00,17.5,0,8000,-1.59,41.42
LOC_LOG_9019,2024-01-09 21:26:00,29.7,0,15000,-1.64,89.0
LOC_LOG_9008,2024-01-09 21:42:00,44.2,6,15000,2.34,440.39
LOC_LOG_9013,2024-01-09 21:47:00,21.6,4,8000,-0.74,193.29
LOC_LOG_9002,2024-01-09 22:13:00,35.2,1,18000,0.05,135.72
LOC_LOG_9012,2024-01-09 23:01:00,31.8,7,18000,-1.45,362.88
LOC_LOG_9004,2024-01-10 00:50:00,33.2,8,8000,-0.39,320.54
LOC_LOG_9006,2024-01-10 00:58:00,72.1,7,18000,1.67,444.32
LOC_LOG_9011,2024-01-10 02:46:00,14.0,5,15000,-2.15,282.2
LOC_LOG_9014,2024-01-10 02:48:00,49.2,1,12000,2.05,204.43
LOC_LOG_9000,2024-01-10 04:58:00,69.6,5,12000,-2.39,247.99
LOC_LOG_9014,2024-01-10 05:37:00,34.8,2,8000,-1.04,104.89
LOC_LOG_9004,2024-01-10 08:23:00,2.2,0,18000,-1.13,111.13
LOC_LOG_9017,2024-01-10 12:19:00,27.2,4,8000,0.9,248.11
LOC_LOG_9000,2024-01-10 13:18:00,55.6,3,18000,1.1,278.1
LOC_LOG_9007,2024-01-10 13:20:00,21.6,1,18000,1.63,247.91
LOC_LOG_9004,2024-01-10 14:49:00,3.6,8,12000,0.45,390.03
LOC_LOG_9005,2024-01-10 15:04:00,76.0,4,15000,-0.58,213.15
LOC_LOG_9004,2024-01-10 15:50:00,31.6,0,12000,-1.59,74.45
LOC_LOG_9011,2024-01-10 16:04:00,71.1,5,18000,1.68,391.95
LOC_LOG_9010,2024-01-10 16:14:00,56.4,7,15000,-1.55,315.59
LOC_LOG_9007,2024-01-10 16:41:00,35.9,4,12000,0.35,230.18
LOC_LOG_9012,2024-01-10 19:03:00,13.1,1,18000,-1.98,114.54
LOC_LOG_9003,2024-01-10 19:55:00,63.2,5,18000,0.78,312.74
LOC_LOG_9001,2024-01-10 20:03:00,60.8,5,15000,-1.47,282.13
LOC_LOG_9006,2024-01-10 20:16:00,54.3,3,8000,-1.51,170.61
LOC_LOG_9013,2024-01-10 20:49:00,55.5,3,22000,0.21,265.87
LOC_LOG_9014,2024-01-10 21:32:00,39.7,3,22000,-0.14,239.14
LOC_LOG_9004,2024-01-10 22:08:00,42.6,5,8000,-1.92,211.89
LOC_LOG_9005,2024-01-10 22:51:00,21.0,5,18000,-2.3,295.88
LOC_LOG_9010,2024-01-11 00:26:00,77.4,3,22000,1.95,360.46
LOC_LOG_9012,2024-01-11 01:38:00,30.1,6,15000,2.41,431.72
LOC_LOG_9000,2024-01-11 01:43:00,68.5,1,15000,-0.33,118.68
LOC_LOG_9011,2024-01-11 02:13:00,16.6,7,22000,-2.14,345.75
LOC_LOG_9019,2024-01-11 07:29:00,65.5,8,8000,-1.85,341.55
LOC_LOG_9002,2024-01-11 08:31:00,65.1,3,22000,0.44,272.66
LOC_LOG_9019,2024-01-11 11:03:00,16.2,2,18000,-0.57,176.47
LOC_LOG_9015,2024-01-11 11:12:00,28.4,5,8000,-0.46,241.66
LOC_LOG_9018,2024-01-11 12:34:00,44.6,8,15000,-1.22,358.24
LOC_LOG_9018,2024-01-11 15:38:00,47.4,2,15000,-0.09,160.97
LOC_LOG_9013,2024-01-11 15:57:00,4.2,1,15000,2.24,269.86
LOC_LOG_9011,2024-01-11 16:07:00,40.8,7,22000,1.82,474.84
LOC_LOG_9002,2024-01-11 16:40:00,16.2,1,12000,0.21,123.88
LOC_LOG_9006,2024-01-11 17:41:00,42.9,2,12000,-0.25,131.63
LOC_LOG_9002,2024-01-11 20:55:00,46.2,4,22000,1.86,379.53
LOC_LOG_9008,2024-01-11 21:39:00,43.6,0,22000,-1.47,144.88
LOC_LOG_9017,2024-01-11 22:03:00,66.0,8,22000,-0.76,420.18
LOC_LOG_9011,2024-01-11 22:07:00,62.9,8,8000,2.21,467.36
LOC_LOG_9016,2024-01-11 23:23:00,31.0,8,15000,-0.37,363.19
LOC_LOG_9003,2024-01-12 00:49:00,29.4,6,15000,0.66,346.64
LOC_LOG_9013,2024-01-12 01:39:00,8.8,8,15000,2.11,500.16
LOC_LOG_9017,2024-01-12 02:19:00,51.4,5,8000,-2.08,227.16
LOC_LOG_9014,2024-01-12 03:42:00,7.9,7,12000,0.91,364.05
LOC_LOG_9008,2024-01-12 04:20:00,72.8,7,22000,-0.59,364.52
LOC_LOG_9000,2024-01-12 05:26:00,15.9,3,12000,-0.41,194.38
LOC_LOG_9004,2024-01-12 06:53:00,46.2,7,8000,-1.39,289.07
LOC_LOG_9016,2024-01-12 10:13:00,16.4,2,12000,-1.59,143.12
LOC_LOG_9007,2024-01-12 10:38:00,25.2,4,15000,-2.02,247.02
LOC_LOG_9006,2024-01-12 11:01:00,58.0,0,12000,-0.94,69.17
LOC_LOG_9000,2024-01-12 11:06:00,39.2,1,12000,-0.61,103.04
LOC_LOG_9012,2024-01-12 11:13:00,64.4,8,15000,1.75,482.11
LOC_LOG_9001,2024-01-12 12:43:00,59.1,4,15000,-1.11,240.51
LOC_LOG_9002,2024-01-12 13:08:00,23.3,2,12000,1.54,230.72
LOC_LOG_9017,2024-01-12 13:16:00,79.2,0,22000,-0.47,146.01
LOC_LOG_9019,2024-01-12 13:33:00,66.3,6,18000,-0.72,309.36
LOC_LOG_9016,2024-01-12 14:05:00,29.7,3,12000,1.04,247.47
LOC_LOG_9004,2024-01-12 14:38:00,27.6,5,8000,-1.57,225.13
LOC_LOG_9003,2024-01-12 14:42:00,38.9,7,22000,-1.95,374.81
LOC_LOG_9016,2024-01-12 15:03:00,39.8,4,22000,-1.48,256.97
LOC_LOG_9015,2024-01-12 15:19:00,31.5,8,22000,-1.36,418.01
LOC_LOG_9008,2024-01-12 16:46:00,43.0,5,8000,-1.48,199.43
LOC_LOG_9000,2024-01-12 17:40:00,5.4,3,18000,0.09,215.64
LOC_LOG_9005,2024-01-12 18:28:00,22.3,0,8000,-1.69,34.96
LOC_LOG_9002,2024-01-12 20:45:00,69.6,1,15000,1.23,185.84
LOC_LOG_9016,2024-01-12 21:16:00,78.2,7,15000,0.89,359.24
LOC_LOG_9003,2024-01-12 21:23:00,31.9,3,22000,0.4,236.18
LOC_LOG_9017,2024-01-12 22:00:00,45.7,5,12000,-0.26,242.06
LOC_LOG_9005,2024-01-12 22:26:00,34.0,6,15000,-1.06,306.27
LOC_LOG_9005,2024-01-12 22:41:00,25.8,4,22000,1.99,387.45
LOC_LOG_9010,2024-01-13 00:51:00,4.7,6,8000,-1.19,261.47
LOC_LOG_9008,2024-01-13 01:10:00,47.4,3,22000,-2.27,219.9
LOC_LOG_9017,2024-01-13 01:23:00,74.0,6,15000,-0.51,315.33
LOC_LOG_9015,2024-01-13 03:56:00,74.6,2,22000,0.65,251.1
LOC_LOG_9003,2024-01-13 04:19:00,46.4,5,18000,1.94,419.38
LOC_LOG_9008,2024-01-13 04:24:00,0.7,7,18000,-1.5,364.89
LOC_LOG_9015,2024-01-13 04:56:00,22.1,0,15000,-0.28,87.02
LOC_LOG_9004,2024-01-13 05:44:00,18.1,3,15000,-0.73,182.82
LOC_LOG_9006,2024-01-13 05:59:00,13.0,1,22000,-2.44,178.83
LOC_LOG_9002,2024-01-13 06:23:00,63.9,1,15000,1.43,190.87
LOC_LOG_9015,2024-01-13 06:58:00,5.1,5,8000,1.81,315.85
LOC_LOG_9011,2024-01-13 08:53:00,73.4,2,15000,1.03,216.61
LOC_LOG_9019,2024-01-13 08:55:00,57.0,3,18000,-1.31,220.88
LOC_LOG_9016,2024-01-13 09:52:00,6.7,8,12000,-0.53,364.58
